"",Z,M,highest,fe,Gene,Specificity,Precision,ExpressionFraction
RPS19,34.6606014447787,0.559682238803902,TRUE,0.992744860943168,RPS19,0.0403927694711002,0.160320249951181,0.992744860943168
RPL13,33.5249238842475,0.499379532731798,TRUE,0.993954050785973,RPL13,0.0348214285714286,0.159735717061796,0.993954050785973
RPS15,33.4144360237322,0.532019380133109,TRUE,0.984280532043531,RPS15,0.0329768270944742,0.157935584012418,0.984280532043531
RPS18,32.4940625203581,0.428266148110638,TRUE,0.996372430471584,RPS18,0.0218847699866012,0.158339738662567,0.996372430471584
RPL28,32.4144582805341,0.42758000684679,TRUE,0.991535671100363,RPL28,0.0200803212851406,0.157329240214889,0.991535671100363
RPL35,32.3106541078174,0.626204736650555,TRUE,0.977025392986699,RPL35,0.0747663551401869,0.1627064035441,0.977025392986699
RPL36,32.2045015892709,0.579374995297739,TRUE,0.980652962515115,RPL36,0.0587842351369406,0.160976578007146,0.980652962515115
RPS2,30.936069352396,0.563509192908432,FALSE,0.986698911729141,RPS2,0.0811413285777976,0.165249088699879,0.986698911729141
TMSB10,26.9120685561525,0.36627920080504,FALSE,0.996372430471584,TMSB10,0.0285841893702546,0.159257827599536,0.996372430471584
RPS9,26.4597243330416,0.404495156525935,TRUE,0.970979443772672,RPS9,0.0526783729717715,0.158538993089832,0.970979443772672
RPL37A,26.1179803453908,0.436083345629019,TRUE,0.962515114873035,RPL37A,0.0636928539724811,0.158723828514457,0.962515114873035
HES1,25.5299964945997,0.938933817280407,TRUE,0.92503022974607,HES1,0.310778047167732,0.19655704008222,0.92503022974607
RPS11,24.1286459311222,0.48780204612832,TRUE,0.934703748488513,RPS11,0.110178847427688,0.160941078492609,0.934703748488513
RPL18A,23.8636970496733,0.383757655510831,TRUE,0.983071342200726,RPL18A,0.0530184896413455,0.160545023696682,0.983071342200726
RPL13A,23.7838551399838,0.313796329413318,TRUE,0.997581620314389,RPL13A,0.0225597498324771,0.158623341665064,0.997581620314389
RPS27,23.2931025679628,0.389561460312505,FALSE,0.964933494558646,RPS27,0.0510657193605684,0.157334384858044,0.964933494558646
RPS21,23.1366233003093,0.509359269316728,TRUE,0.885126964933495,RPS21,0.136323851203501,0.15644368454798,0.885126964933495
RPS29,23.1081475760971,0.368901953731577,TRUE,0.964933494558646,RPS29,0.0634991119005329,0.159090909090909,0.964933494558646
SAT1,22.8162689167916,0.892825009533924,TRUE,0.892382103990327,SAT1,0.210560911481157,0.170006910850035,0.892382103990327
RPS8,22.4952084728125,0.426812733491485,TRUE,0.96372430471584,RPS8,0.0794672586015538,0.161205501618123,0.96372430471584
ELF3,22.2970686638698,0.735763951641077,TRUE,0.954050785973398,ELF3,0.189231110126302,0.17738309352518,0.954050785973398
RPL29,21.8287406563836,0.354972091243725,FALSE,0.954050785973398,RPL29,0.0609350764458232,0.156952456733638,0.954050785973398
RPLP2,21.8121134993468,0.291191870508179,TRUE,0.973397823458283,RPLP2,0.0353569046030687,0.156523429904725,0.973397823458283
RPL38,20.3579836045423,0.432117860431352,TRUE,0.902055622732769,RPL38,0.118744512730465,0.156689771056501,0.902055622732769
TUBA1B,20.081045056482,0.806400892295242,FALSE,0.856106408706167,TUBA1B,0.299303439268611,0.180290297937357,0.856106408706167
SOX4,19.9000866449124,1.45074819415781,TRUE,0.675937122128174,SOX4,0.619860847564832,0.236663844199831,0.675937122128174
CSKMT,19.2420325798838,1.63443860110881,TRUE,0.609431680773882,CSKMT,0.724260108378491,0.275862068965517,0.609431680773882
RPL8,18.7131028042177,0.282343112535889,FALSE,0.950423216444982,RPL8,0.0549158547387068,0.155520379897111,0.950423216444982
RPL27A,18.6432777754156,0.319223560433904,FALSE,0.955259975816203,RPL27A,0.0625,0.157370517928287,0.955259975816203
RPL37,18.4459924132493,0.392603357665399,TRUE,0.910519951632406,RPL37,0.106177181798197,0.156256484747873,0.910519951632406
RPL14,18.2051559138886,0.395527177451394,FALSE,0.929866989117291,RPL14,0.111846459298478,0.160375391032325,0.929866989117291
HEXIM1,17.9378646787993,1.41100305531741,TRUE,0.651753325272068,HEXIM1,0.58240604660928,0.213212025316456,0.651753325272068
RPS5,17.7335225759152,0.400359780866479,FALSE,0.899637243047159,RPS5,0.127029398859149,0.157526995553674,0.899637243047159
RARRES2,17.5215849780397,1.27689793951529,TRUE,0.615477629987908,RARRES2,0.665762570415189,0.241117953576504,0.615477629987908
RPL7A,17.3723645954049,0.342385533400005,FALSE,0.929866989117291,RPL7A,0.0939774983454666,0.157711238720263,0.929866989117291
RPL31,17.3228750977924,0.369066292679638,TRUE,0.90689238210399,RPL31,0.104130052724077,0.155343827671914,0.90689238210399
RPS3,17.2339962990181,0.294853630347066,FALSE,0.950423216444982,RPS3,0.058237378210806,0.155983330025799,0.950423216444982
H4C3,17.1669832890257,1.18233798643284,TRUE,0.675937122128174,H4C3,0.549019607843137,0.207190511489993,0.675937122128174
RPL36A,16.9372133186162,0.545676088203773,FALSE,0.822249093107618,RPL36A,0.256598874945911,0.165208940719145,0.822249093107618
H2BC8,16.9093306826447,1.6880614564032,TRUE,0.523579201934704,H2BC8,0.803450400492914,0.311510791366906,0.523579201934704
RPL12,16.882136151164,0.333916951791495,FALSE,0.954050785973398,RPL12,0.0733436738311545,0.15872057936029,0.954050785973398
EEF1D,16.8020889722797,0.443493094230603,TRUE,0.856106408706167,EEF1D,0.167174575533304,0.15615350683723,0.856106408706167
RPL18,16.6035260224957,0.293582761812673,FALSE,0.917775090689238,RPL18,0.0865067136253577,0.154613974332858,0.917775090689238
SNRPD2,16.4775777003273,0.796340961297417,TRUE,0.726723095525998,SNRPD2,0.381408211018932,0.171273867198632,0.726723095525998
MRPL12,16.4397921547287,0.895883209726571,TRUE,0.704957678355502,MRPL12,0.456028819665183,0.185079365079365,0.704957678355502
RPL11,16.4059334724987,0.259633624014633,FALSE,0.960096735187424,RPL11,0.0516858917480036,0.156638390215033,0.960096735187424
RPS28,16.3605318192865,0.279374687088722,FALSE,0.918984280532043,RPS28,0.0819022457067371,0.154158215010142,0.918984280532043
CYBA,16.0039294133044,0.519215026950094,FALSE,0.830713422007255,CYBA,0.223185265438787,0.160814606741573,0.830713422007255
GADD45GIP1,15.8461058842824,1.07208070825534,TRUE,0.646916565900846,GADD45GIP1,0.520662890706944,0.189716312056738,0.646916565900846
PTMA,15.7475052793399,0.275093257811786,FALSE,0.968561064087062,PTMA,0.0488780271050878,0.157615112160567,0.968561064087062
CXCL3,15.464126300166,1.42252606334392,TRUE,0.539298669891173,CXCL3,0.755766062602965,0.27328431372549,0.539298669891173
RPL32,15.1734866437698,0.286334885314231,FALSE,0.951632406287787,RPL32,0.0697674418604651,0.157810306797674,0.951632406287787
ATP5F1D,14.854137569157,0.345128121043845,FALSE,0.905683192261185,ATP5F1D,0.144300461234351,0.161248654467169,0.905683192261185
RPS16,14.8308617466174,0.289915423654489,FALSE,0.92261185006046,RPS16,0.0887860762282441,0.155746070626658,0.92261185006046
NDUFB7,14.2618377185027,0.464005804665819,FALSE,0.835550181378476,NDUFB7,0.215571459553242,0.160399257195915,0.835550181378476
RPL41,14.099130529707,0.129300166916541,FALSE,0.986698911729141,RPL41,0.016941596076683,0.156142365097589,0.986698911729141
CD320,14.0801127875885,1.2975800191711,TRUE,0.541717049576784,CD320,0.669344870210136,0.218217243058938,0.541717049576784
POLR2L,14.022919258814,0.564852495338815,TRUE,0.776299879081016,POLR2L,0.259012875536481,0.156776556776557,0.776299879081016
RPLP1,13.995864340595,0.20005180749839,FALSE,0.978234582829504,RPLP1,0.0289338971733808,0.156419180201083,0.978234582829504
JUN,13.8879307425016,0.43079450794342,FALSE,0.92503022974607,JUN,0.163764602160018,0.16779995613073,0.92503022974607
GSTP1,13.4518700168504,0.434282213954604,FALSE,0.784764207980653,GSTP1,0.25231033741672,0.157218992248062,0.784764207980653
NCL,13.4318459734231,0.790390642993021,FALSE,0.680773881499396,NCL,0.470985439966238,0.183387622149837,0.680773881499396
LMNA,13.3993104993475,0.541084342291059,TRUE,0.792019347037485,LMNA,0.276522487626426,0.163057007717202,0.792019347037485
DDX21,13.3919317133926,1.21077102042214,TRUE,0.5453446191052,DDX21,0.655741084312513,0.212635549269213,0.5453446191052
RPLP0,13.3374364150003,0.320699371426503,FALSE,0.923821039903265,RPLP0,0.118334067871309,0.160335781741868,0.923821039903265
CENPX,13.0633851630706,0.812961245086337,TRUE,0.649334945586457,CENPX,0.416579223504722,0.161893277057582,0.649334945586457
RPS12,13.0322294179408,0.240911202040242,FALSE,0.960096735187424,RPS12,0.0505767524401065,0.156484036263303,0.960096735187424
ATP5ME,12.8455028976762,0.376515070472072,FALSE,0.836759371221282,ATP5ME,0.203470715835141,0.158570119156737,0.836759371221282
HMGB1,12.8288448803196,0.640246393045299,FALSE,0.713422007255139,HMGB1,0.377334465195246,0.167423382519864,0.713422007255139
RPL10A,12.3488653302583,0.332292936871454,FALSE,0.889963724304716,RPL10A,0.176741130091984,0.163737486095662,0.889963724304716
REX1BD,12.2811770557455,0.922963203402565,TRUE,0.610640870616687,REX1BD,0.502605795288722,0.174680041508129,0.610640870616687
NA..219,12.2339322930736,1.91068753520479,TRUE,0.345828295042322,NA..219,0.920653907496013,0.41812865497076,0.345828295042322
MAFB,12.0693879490313,1.57285460501782,TRUE,0.384522370012092,MAFB,0.878410914927769,0.344155844155844,0.384522370012092
MZT2A,11.6974040299239,1.00278871683075,TRUE,0.556227327690447,MZT2A,0.573110285006196,0.182034032449545,0.556227327690447
STARD10,11.440416910421,0.61711408320082,FALSE,0.691656590084643,STARD10,0.445877378435518,0.179141872846852,0.691656590084643
RPS23,11.4220610607739,0.262705532858359,FALSE,0.896009673518742,RPS23,0.115544836658628,0.155183246073298,0.896009673518742
GDF15,11.4006976613877,0.886980823215467,TRUE,0.556227327690447,GDF15,0.628872366790582,0.203810367744794,0.556227327690447
HSPE1,11.3700711299692,0.406034985324921,FALSE,0.770253929866989,HSPE1,0.290675241157556,0.161429295489103,0.770253929866989
TIMM13,11.3304682825992,0.619069590716254,TRUE,0.656590084643289,TIMM13,0.406808152973314,0.161319073083779,0.656590084643289
