"",Z,M,highest,fe,Gene,Specificity,Precision,ExpressionFraction
ND3,32.3033505896296,0.342527857674282,FALSE,0.997923588039867,ND3,0.0295074069613393,0.129758626275717,0.997923588039867
PGC,32.2467430699607,0.637737292322031,FALSE,0.915282392026578,PGC,0.336864028562928,0.165118369793227,0.915282392026578
SEMG2,31.4914958544744,0.472209481671289,FALSE,0.99875415282392,SEMG2,0.11304504938569,0.140380574363764,0.99875415282392
PIP,29.7909506176824,0.500864180945979,FALSE,0.988787375415282,PIP,0.192867452489776,0.150677129477281,0.988787375415282
EGR1,29.7208208301286,0.772780737927652,FALSE,0.770348837209302,EGR1,0.596887023434767,0.2115165336374,0.770348837209302
PDK4,29.2964942006715,0.521975545825185,TRUE,0.934385382059801,PDK4,0.259681365236589,0.153510268131268,0.934385382059801
CLU,29.1679490171644,0.498333263065245,FALSE,0.95141196013289,CLU,0.252781433185788,0.154975309477102,0.95141196013289
ND5,28.4655888287295,0.454323812606383,FALSE,0.923172757475083,ND5,0.159656856904563,0.136138159103436,0.923172757475083
COX1,28.0036660775654,0.242322568647375,FALSE,0.999584717607973,COX1,0.00644500662570775,0.127341022114062,0.999584717607973
SEMG1,27.6144007028602,0.411003359830913,FALSE,0.999169435215947,SEMG1,0.0956453652954285,0.138109178577579,0.999169435215947
COX3,26.4203662012561,0.218266033959508,FALSE,0.999584717607973,COX3,0.00343332128659198,0.127005065428451,0.999584717607973
PRPS2,25.7476089220086,0.473236529290339,FALSE,0.972176079734219,PRPS2,0.234101271898248,0.154961276229562,0.972176079734219
ND1,23.9559329601084,0.295810267162061,FALSE,0.98546511627907,ND1,0.0519956720365472,0.130787037037037,0.98546511627907
COX2,23.8426012124405,0.226362467404652,FALSE,1,COX2,0.00843322691404132,0.127616725846627,1
CYP4F8,23.7483842307678,0.558465761812475,FALSE,0.796511627906977,CYP4F8,0.399859575215026,0.157535934291581,0.796511627906977
ND4,22.5181166195627,0.23602426637661,FALSE,0.997508305647841,ND4,0.0122237610646113,0.127725194086994,0.997508305647841
FOS,22.1220070309086,0.425833181869564,FALSE,0.872093023255814,FOS,0.416642024957123,0.175526579739218,0.872093023255814
PTGS2,21.3610718992109,0.568242559302559,FALSE,0.719269102990033,PTGS2,0.465416449615095,0.157913931436907,0.719269102990033
ND2,20.9924225013409,0.323525434331681,FALSE,0.943936877076412,ND2,0.129660611854685,0.13498426272344,0.943936877076412
MT2A,19.8877756082308,0.347083754599424,FALSE,0.895348837209302,MT2A,0.252595976977393,0.14614967462039,0.895348837209302
ATP6,18.7939990040779,0.203606176089314,FALSE,0.999584717607973,ATP6,0.00614383809179617,0.127307346485429,0.999584717607973
LAPTM4A,18.1169455943509,0.339689451493509,FALSE,0.862126245847176,LAPTM4A,0.236815685348137,0.138409227281819,0.862126245847176
CD24,17.2780902871592,0.355479713469085,FALSE,0.880813953488372,CD24,0.305956892468025,0.153229302123971,0.880813953488372
ND4L,16.4758698410964,0.633355459860499,FALSE,0.591362126245847,ND4L,0.522775092408303,0.145069274653627,0.591362126245847
CYTB,16.3588268199133,0.189823316514714,FALSE,0.999169435215947,CYTB,0.00969704270312594,0.127652801358234,0.999169435215947
MT1E,16.129013566512,0.330717421718084,FALSE,0.803986710963455,MT1E,0.34141627130557,0.146889226100152,0.803986710963455
ATF3,15.7787029946404,0.438204428884107,FALSE,0.596345514950166,ATF3,0.629488419734821,0.180697118409463,0.596345514950166
FADS2,15.7492583395956,0.610101930049789,FALSE,0.561046511627907,FADS2,0.579907124249632,0.154065457862926,0.561046511627907
BTG2,15.6902782915894,0.400557225563965,FALSE,0.690614617940199,BTG2,0.482416695491756,0.156282304294709,0.690614617940199
