"",Z,M,highest,fe,Gene,Specificity,Precision,ExpressionFraction
HLA.B,39.8806167610144,0.831008550971832,TRUE,0.998780487804878,HLA.B,0.0635638870932989,0.158567279767667,0.998780487804878
CD74,38.6308442961276,0.945762644972553,TRUE,1,CD74,0.171120689655172,0.17573939134162,1
HLA.DRA,34.778309802055,0.912039147401722,TRUE,0.998780487804878,HLA.DRA,0.20706744236156,0.182040453434096,0.998780487804878
FABP6,34.3645843106463,0.8950892610578,FALSE,1,FABP6,0.0357758620689655,0.154892330940688,1
NFKBIA,34.3594990048543,1.3311167106902,FALSE,0.970731707317073,NFKBIA,0.371569468267581,0.213576603166085,0.970731707317073
TM4SF20,33.7371872371054,1.37567706119152,TRUE,0.965853658536585,TM4SF20,0.506426735218509,0.255813953488372,0.965853658536585
FAM151A,33.4265559323998,1.6197837601755,TRUE,0.903658536585366,FAM151A,0.67154058063149,0.32343954604976,0.903658536585366
HLA.DRB5,33.3642661718294,1.46809143353028,TRUE,0.930487804878049,HLA.DRB5,0.560783478816266,0.269992922859165,0.930487804878049
PNLIPRP2,32.158962652254,1.98525661723384,TRUE,0.798780487804878,PNLIPRP2,0.835587929240375,0.453287197231834,0.798780487804878
BIRC3,32.035479766074,1.43342096779815,TRUE,0.935365853658537,BIRC3,0.519710206690816,0.253889440582589,0.935365853658537
PRAP1,31.4548950758782,0.642737294237261,TRUE,1,PRAP1,0.0545258620689655,0.15748031496063,1
DPEP1,31.1071928809935,0.792277607861023,TRUE,0.998780487804878,DPEP1,0.168929110105581,0.175149700598802,0.998780487804878
MT1H,31.0048819655884,0.967303703359908,FALSE,0.974390243902439,MT1H,0.260244582707574,0.188132799623263,0.974390243902439
ALDOB,30.7817498868721,0.656073443519063,TRUE,1,ALDOB,0.0676724137931034,0.159347065682083,1
HLA.A,30.625608509919,0.488380655853673,TRUE,1,HLA.A,0.0316810344827586,0.15433841520798,1
IL32,30.5237193111453,0.832534759532648,FALSE,1,IL32,0.155387931034483,0.173032285292256,1
ISG15,30.0520900059796,1.21494457007172,TRUE,0.942682926829268,ISG15,0.53744399402603,0.262835770146209,0.942682926829268
FABP1,29.9860484349356,0.619859496172654,FALSE,0.998780487804878,FABP1,0.0482654600301659,0.156417112299465,0.998780487804878
SERPINA1,29.3285128134341,0.853637251237081,FALSE,0.998780487804878,SERPINA1,0.195647489765137,0.179920913884007,0.998780487804878
ANPEP,29.0982532838818,0.683507306262016,TRUE,1,ANPEP,0.154956896551724,0.172959291288758,1
REG1B,28.1299734775949,1.14184160646367,TRUE,0.952439024390244,REG1B,0.411626415900833,0.220996038483305,0.952439024390244
LCN2,28.1080312731973,1.65298783579415,TRUE,0.798780487804878,LCN2,0.721123829344433,0.328320802005013,0.798780487804878
SLC6A19,27.1726072521958,1.19302981470913,TRUE,0.896341463414634,SLC6A19,0.598730158730159,0.279361459521095,0.896341463414634
SLC51B,26.879905236411,0.992548391227702,TRUE,0.940243902439024,SLC51B,0.469822989976541,0.23672090881179,0.940243902439024
FABP2,26.6886127326491,0.646963676696252,TRUE,0.997560975609756,FABP2,0.0876777251184834,0.161884029289531,0.997560975609756
SLC51A,26.4563232401245,1.37616539787644,TRUE,0.786585365853659,SLC51A,0.686396677050883,0.299303944315545,0.786585365853659
CDHR5,26.4466177485498,0.732583094918579,TRUE,0.996341463414634,CDHR5,0.21473185440448,0.183060721487789,0.996341463414634
AOC1,25.9344545420234,0.899189195719437,TRUE,0.967073170731707,AOC1,0.376687379472895,0.214208535926526,0.967073170731707
MT1M,25.6642458321473,0.992844860230424,FALSE,0.921951219512195,MT1M,0.436862244897959,0.222026431718062,0.921951219512195
CTSD,25.6287445429762,0.698198446666592,TRUE,0.995121951219512,CTSD,0.18260120585702,0.17692974848222,0.995121951219512
SMIM24,25.2818851095586,0.689808569198479,TRUE,0.997560975609756,SMIM24,0.200990952175786,0.18069361608129,0.997560975609756
B2M,25.1388043770934,0.287348907763092,FALSE,1,B2M,0.0021551724137931,0.15045871559633,1
MT1G,25.0928230914563,0.504755664831039,FALSE,0.992682926829268,MT1G,0.0951356005165734,0.162216022319649,0.992682926829268
SLC7A9,24.965555061004,0.980561073040655,TRUE,0.909756097560976,SLC7A9,0.524819686041578,0.249832551908908,0.909756097560976
NAALADL1,24.8468734168319,0.983056427522667,TRUE,0.895121951219512,NAALADL1,0.533220482437579,0.249659863945578,0.895121951219512
SLC5A1,24.7555983695911,0.96591798176256,TRUE,0.909756097560976,SLC5A1,0.463937208315656,0.22792545065689,0.909756097560976
CCL20,24.1400282740363,1.91996791520014,TRUE,0.629268292682927,CCL20,0.890776699029126,0.488636363636364,0.629268292682927
RBP2,23.9248005375938,0.725019032724562,FALSE,0.986585365853658,RBP2,0.216942592990755,0.181756908559874,0.986585365853658
CYBRD1,23.8980481418215,0.946607891473021,TRUE,0.903658536585366,CYBRD1,0.502013138376775,0.239728243286962,0.903658536585366
PEPD,23.7069637826162,0.87146739988427,TRUE,0.913414634146342,PEPD,0.413712587561027,0.213329535744802,0.913414634146342
AMN,23.4307941802913,0.632183475966033,TRUE,0.986585365853658,AMN,0.180176306170716,0.175032453483341,0.986585365853658
MT2A,23.2607726149614,0.426760680085486,FALSE,0.996341463414634,MT2A,0.0454447555459832,0.155648694989522,0.996341463414634
CES2,23.0493698545053,0.618016466990681,FALSE,0.985365853658537,CES2,0.22871883061049,0.183803457688808,0.985365853658537
APOC3,22.3152598791742,0.949087341086161,FALSE,0.968292682926829,APOC3,0.185812258894128,0.172871761376007,0.968292682926829
HLA.F,22.3128160836606,0.987593881750459,TRUE,0.803658536585366,HLA.F,0.552801499687565,0.234853884533143,0.803658536585366
MALL,22.2017019160785,0.803862966440297,TRUE,0.913414634146342,MALL,0.435576310762046,0.219776995305164,0.913414634146342
VKORC1,22.1027944588004,1.41903646770151,TRUE,0.671951219512195,VKORC1,0.724180077408841,0.289238845144357,0.671951219512195
SULT1A1,21.9052479290755,0.750701962848393,FALSE,0.929268292682927,SULT1A1,0.375904640272456,0.206280454791554,0.929268292682927
MGAM,21.571235835697,0.964163463753595,FALSE,0.829268292682927,MGAM,0.601882845188285,0.263259775454897,0.829268292682927
MT1F,21.209014702802,0.603730535527033,FALSE,0.962195121951219,MT1F,0.225219439092271,0.178992740471869,0.962195121951219
SGK1,21.1902778883169,0.797064826818052,TRUE,0.903658536585366,SGK1,0.453273998728544,0.223125564588979,0.903658536585366
HLA.DRB1,21.1865306938754,0.645246274264567,FALSE,0.979268292682927,HLA.DRB1,0.281726433326176,0.193587270973963,0.979268292682927
NHERF1,21.0796295805829,0.813940596023255,TRUE,0.865853658536585,NHERF1,0.435789473684211,0.209439528023599,0.865853658536585
TPI1,20.9792435122915,0.483089242869073,TRUE,0.985365853658537,TPI1,0.16530524505589,0.172244723939459,0.985365853658537
FUOM,20.9607455147552,0.737859630362407,FALSE,0.891463414634146,FUOM,0.382533305138507,0.200219118049849,0.891463414634146
PPP1R14D,20.9039050775282,0.89261945256318,TRUE,0.81219512195122,PPP1R14D,0.489987484355444,0.214079074252652,0.81219512195122
PCK2,20.8224641489958,0.760382890603504,TRUE,0.895121951219512,PCK2,0.424037240795599,0.212384259259259,0.895121951219512
HLA.DQB1,20.6040895552837,0.949075653225673,TRUE,0.798780487804878,HLA.DQB1,0.544849115504683,0.230471498944405,0.798780487804878
TCN2,20.3355171924438,0.827358293825477,FALSE,0.842682926829268,TCN2,0.53700985531558,0.238358054501552,0.842682926829268
EDF1,20.3103473287048,0.376965640413475,FALSE,0.997560975609756,EDF1,0.0697975010771219,0.159267912772586,0.997560975609756
NUCB1,20.3055203281765,0.781448517374043,TRUE,0.842682926829268,NUCB1,0.441182637869574,0.205899880810489,0.842682926829268
SLC22A18,20.0846617765719,0.695699289489316,TRUE,0.913414634146342,SLC22A18,0.364253873912121,0.200053418803419,0.913414634146342
KHK,20.0064105744115,0.615734693454101,FALSE,0.974390243902439,KHK,0.275048272902811,0.191239827668741,0.974390243902439
REEP6,19.8327513822823,0.653979034382002,FALSE,0.913414634146342,REEP6,0.335385268520484,0.193041237113402,0.913414634146342
JPT1,19.8230265738454,0.754170247777069,TRUE,0.860975609756098,JPT1,0.414808582246529,0.202408256880734,0.860975609756098
BLVRB,19.768656902511,0.625794833786875,FALSE,0.93780487804878,BLVRB,0.294393519505436,0.188526599656779,0.93780487804878
ACSL5,19.7650160774986,0.852644624611013,TRUE,0.809756097560976,ACSL5,0.472685571309425,0.207954901346696,0.809756097560976
ENO1,19.6817693297903,0.618121295209609,FALSE,0.919512195121951,ENO1,0.300679983000425,0.186402966625464,0.919512195121951
CFB,19.5788076254053,1.48973542686312,TRUE,0.582926829268293,CFB,0.807306302689683,0.33240611961057,0.582926829268293
GCHFR,19.452346398346,0.713383589171018,TRUE,0.873170731707317,GCHFR,0.383010118043845,0.196541312105408,0.873170731707317
